España y UE;Grupos de edad;Periodo;Total
España;De 15 a 64 años;2023;9,1
España;De 15 a 64 años;2022;9,8
España;De 15 a 64 años;2021;9,6
España;De 15 a 64 años;2020;10,4
España;De 15 a 64 años;2019;10,8
España;De 15 a 64 años;2018;11
España;De 15 a 64 años;2017;10,8
España;De 15 a 64 años;2016;10,5
España;De 15 a 64 años;2015;10,2
España;De 15 a 64 años;2014;9,5
España;De 15 a 64 años;2013;8,9
España;De 15 a 64 años;2012;9,1
España;De 15 a 64 años;2011;10,8
España;De 15 a 64 años;2010;12
España;De 15 a 64 años;2009;13,2
España;De 20 a 64 años;2023;10,2
España;De 20 a 64 años;2022;10,9
España;De 20 a 64 años;2021;10,6
España;De 20 a 64 años;2020;11,4
España;De 20 a 64 años;2019;11,9
España;De 20 a 64 años;2018;12,1
España;De 20 a 64 años;2017;11,9
España;De 20 a 64 años;2016;11,5
España;De 20 a 64 años;2015;11,2
España;De 20 a 64 años;2014;10,2
España;De 20 a 64 años;2013;9,6
España;De 20 a 64 años;2012;10
España;De 20 a 64 años;2011;11,6
España;De 20 a 64 años;2010;12,9
España;De 20 a 64 años;2009;14,2
España;De 55 a 64 años;2023;13,2
España;De 55 a 64 años;2022;13,4
España;De 55 a 64 años;2021;13,2
España;De 55 a 64 años;2020;13,6
España;De 55 a 64 años;2019;14,2
España;De 55 a 64 años;2018;14,8
España;De 55 a 64 años;2017;14,3
España;De 55 a 64 años;2016;12,9
España;De 55 a 64 años;2015;13,8
España;De 55 a 64 años;2014;13,4
España;De 55 a 64 años;2013;14,2
España;De 55 a 64 años;2012;16,1
España;De 55 a 64 años;2011;18,2
España;De 55 a 64 años;2010;21,4
España;De 55 a 64 años;2009;24,3
UE-28;De 15 a 64 años;2023;..
UE-28;De 15 a 64 años;2022;..
UE-28;De 15 a 64 años;2021;..
UE-28;De 15 a 64 años;2020;..
UE-28;De 15 a 64 años;2019;10,4
UE-28;De 15 a 64 años;2018;10,5
UE-28;De 15 a 64 años;2017;10,4
UE-28;De 15 a 64 años;2016;10,5
UE-28;De 15 a 64 años;2015;10,5
UE-28;De 15 a 64 años;2014;10,5
UE-28;De 15 a 64 años;2013;10,6
UE-28;De 15 a 64 años;2012;11
UE-28;De 15 a 64 años;2011;11,6
UE-28;De 15 a 64 años;2010;11,8
UE-28;De 15 a 64 años;2009;12,2
UE-28;De 20 a 64 años;2023;..
UE-28;De 20 a 64 años;2022;..
UE-28;De 20 a 64 años;2021;..
UE-28;De 20 a 64 años;2020;..
UE-28;De 20 a 64 años;2019;11,4
UE-28;De 20 a 64 años;2018;11,6
UE-28;De 20 a 64 años;2017;11,5
UE-28;De 20 a 64 años;2016;11,6
UE-28;De 20 a 64 años;2015;11,6
UE-28;De 20 a 64 años;2014;11,5
UE-28;De 20 a 64 años;2013;11,7
UE-28;De 20 a 64 años;2012;12,1
UE-28;De 20 a 64 años;2011;12,8
UE-28;De 20 a 64 años;2010;13
UE-28;De 20 a 64 años;2009;13,5
UE-28;De 55 a 64 años;2023;..
UE-28;De 55 a 64 años;2022;..
UE-28;De 55 a 64 años;2021;..
UE-28;De 55 a 64 años;2020;..
UE-28;De 55 a 64 años;2019;13
UE-28;De 55 a 64 años;2018;13
UE-28;De 55 a 64 años;2017;12,9
UE-28;De 55 a 64 años;2016;13,1
UE-28;De 55 a 64 años;2015;13,2
UE-28;De 55 a 64 años;2014;13,6
UE-28;De 55 a 64 años;2013;14
UE-28;De 55 a 64 años;2012;14,6
UE-28;De 55 a 64 años;2011;14,9
UE-28;De 55 a 64 años;2010;16
UE-28;De 55 a 64 años;2009;17
UE27_2020;De 15 a 64 años;2023;9,3
UE27_2020;De 15 a 64 años;2022;9,8
UE27_2020;De 15 a 64 años;2021;10
UE27_2020;De 15 a 64 años;2020;10,1
UE27_2020;De 15 a 64 años;2019;10,3
UE27_2020;De 15 a 64 años;2018;10,3
UE27_2020;De 15 a 64 años;2017;10,3
UE27_2020;De 15 a 64 años;2016;10,2
UE27_2020;De 15 a 64 años;2015;10,2
UE27_2020;De 15 a 64 años;2014;10,1
UE27_2020;De 15 a 64 años;2013;10,3
UE27_2020;De 15 a 64 años;2012;10,7
UE27_2020;De 15 a 64 años;2011;11,4
UE27_2020;De 15 a 64 años;2010;11,7
UE27_2020;De 15 a 64 años;2009;12,2
UE27_2020;De 20 a 64 años;2023;10,3
UE27_2020;De 20 a 64 años;2022;10,7
UE27_2020;De 20 a 64 años;2021;10,9
UE27_2020;De 20 a 64 años;2020;11,1
UE27_2020;De 20 a 64 años;2019;11,2
UE27_2020;De 20 a 64 años;2018;11,3
UE27_2020;De 20 a 64 años;2017;11,3
UE27_2020;De 20 a 64 años;2016;11,1
UE27_2020;De 20 a 64 años;2015;11,1
UE27_2020;De 20 a 64 años;2014;11,1
UE27_2020;De 20 a 64 años;2013;11,3
UE27_2020;De 20 a 64 años;2012;11,8
UE27_2020;De 20 a 64 años;2011;12,5
UE27_2020;De 20 a 64 años;2010;12,7
UE27_2020;De 20 a 64 años;2009;13,4
UE27_2020;De 55 a 64 años;2023;12
UE27_2020;De 55 a 64 años;2022;12,5
UE27_2020;De 55 a 64 años;2021;12,6
UE27_2020;De 55 a 64 años;2020;12,5
UE27_2020;De 55 a 64 años;2019;13,1
UE27_2020;De 55 a 64 años;2018;13,1
UE27_2020;De 55 a 64 años;2017;12,8
UE27_2020;De 55 a 64 años;2016;12,8
UE27_2020;De 55 a 64 años;2015;13
UE27_2020;De 55 a 64 años;2014;13,2
UE27_2020;De 55 a 64 años;2013;13,7
UE27_2020;De 55 a 64 años;2012;14,2
UE27_2020;De 55 a 64 años;2011;14,6
UE27_2020;De 55 a 64 años;2010;15,8
UE27_2020;De 55 a 64 años;2009;16,7
