España y UE;Periodo;Total
UE-28;2023;..
UE-28;2022;..
UE-28;2021;..
UE-28;2020;..
UE-28;2019;10,4
UE-28;2018;10,5
UE-28;2017;10,4
UE-28;2016;10,5
UE-28;2015;10,5
UE-28;2014;10,5
UE-28;2013;10,6
UE-28;2012;11
UE-28;2011;11,6
UE-28;2010;11,8
UE-28;2009;12,2
UE27_2020;2023;9,3
UE27_2020;2022;9,8
UE27_2020;2021;10
UE27_2020;2020;10,1
UE27_2020;2019;10,3
UE27_2020;2018;10,3
UE27_2020;2017;10,3
UE27_2020;2016;10,2
UE27_2020;2015;10,2
UE27_2020;2014;10,1
UE27_2020;2013;10,3
UE27_2020;2012;10,7
UE27_2020;2011;11,4
UE27_2020;2010;11,7
UE27_2020;2009;12,2
España;2023;9,1
España;2022;9,8
España;2021;9,6
España;2020;10,4
España;2019;10,8
España;2018;11
España;2017;10,8
España;2016;10,5
España;2015;10,2
España;2014;9,5
España;2013;8,9
España;2012;9,1
España;2011;10,8
España;2010;12
España;2009;13,2
